benchmark,exp,flow,wl_gr,vias_gr,time_gr,mem_gr,wl_dr,vias_dr,OFGW,OFGV,OFTW,OFTV,WWW,short_area,min_area,spacing,score,time_dr,mem_dr
ispd18_test3,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),8506780,363980,23,1116,3505723520,373320,24161400,3683,6539955,2160,30630440,0,0,0,5279792,135,1624
ispd18_test3,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,8646190,383248,31,1105,3512402311,378723,22396540,3262,5965333,2083,29373850,0,0,0,5290177,130,1763
ispd18_test4,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,5543018572,632047,668496719,21899,761104,0,54293378,52663697820,13264,99573,733474118,na,na
ispd18_test4,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,5284058129,729312,75627486,29895,3488953,0,41042655,9813340,93,593,15756404,720,9744
ispd18_test4,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,5246843336,725626,42093712,40500,10917940,17343,32411419,2036000,0,46,15074474,431.675,2832.46
ispd18_test4,exp88,PL: Contest; GR: CUGR; DR: Triton,25850300,606787,86.9967,2519.71,5245606838,715748,30741526,8425,9147691,17366,28373254,0,1,0,14890247,617.984,3087.81
ispd18_test4,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,26201000,611866,87.2656,2536.78,5317064431,718274,35202920,8859,9200754,17258,27952351,0,0,0,15094104,602.476,3097.23
ispd18_test4,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,26181500,618129,87.1502,2520.04,5311865137,724813,34568260,8975,9228749,17502,27820746,0,0,0,15090783,535.876,2783.6
ispd18_test4,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,26007000,629086,104.022,na,5243023087,719883,27136720,7983,9835640,17312,27723067,0,0,0,14871507,996.835,na
ispd18_test4,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),25833300,604296,125.685,2494.18,5244915968,716080,31305206,9383,9298051,17329,28908745,0,0,0,14895477,479.168,2761.43
ispd18_test4,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),25782200,598403,776.892,3885.18,5243691392,719361,33806665,11898,9370391,17291,30080400,0,0,0,14920001,506.208,3057.77
ispd18_test4,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),25825000,608064,223,3051,5243852377,715543,3001052674,240200,8981815,17223,27979749,608600,0,4,29975364,467,2884
ispd18_test4,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),25832800,606771,28,2152,5242244431,715087,29880470,8277,9126091,17363,28316775,0,0,0,14875227,577,2945
ispd18_test4,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,25995200,628609,37,1911,5239750964,719406,27165845,7965,9984316,17336,27838497,0,0,0,14863473,319,2720
ispd18_test5,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,5837060163,865651,1100323413,38384,1939580,0,9342780,49746732000,26694,156926,735559666,na,na
ispd18_test5,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,5560260092,965544,30030150,21868,1165333,3,15468553,2498140,141,362,16366742,417,7296
ispd18_test5,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,5533810430,892269,59258695,26826,4932380,16028,21484260,0,0,0,16077964,378.238,3049.08
ispd18_test5,exp88,PL: Contest; GR: CUGR; DR: Triton,26721000,805420,102.471,3036.88,5482681100,824844,19250295,7077,3235080,14947,17626960,0,0,0,15570889,462.766,3286.6
ispd18_test5,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,27381100,820952,102.85,3053.21,5623119630,834944,24890640,7624,3431270,15147,17951000,0,0,0,15973244,489.836,3313.61
ispd18_test5,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,27211700,827893,106.188,3037.59,5587629940,831565,21314200,7326,3254070,15452,18248080,0,0,0,15860929,520.554,3310.26
ispd18_test5,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,27025900,856321,124.156,na,5484512130,842649,20601900,8316,3801200,15127,17182380,0,0,0,15618446,1174.91,na
ispd18_test5,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),26692700,791010,148.983,2837.14,5483244730,818396,18490640,7106,3351800,14964,18817140,0,0,0,15561892,535.043,3155.88
ispd18_test5,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),26600700,756566,949.829,4759.91,5479999530,806219,18526460,7295,3677960,15088,20878380,0,0,0,15541039,553.966,2757.42
ispd18_test5,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),26634300,813588,246,3667,5473574560,827996,3775497780,287943,3235940,14970,17441340,297100,0,1,34619841,464,3031
ispd18_test5,exp157,PL: Contest; GR: CRP-FPM; DR: Triton (Improve UnitShortCost-Pitch of the layers),26707800,805610,35,2283,5481662460,824794,20004040,7059,3327520,14940,17828540,0,0,0,15573225,463,3182
ispd18_test5,exp158,PL: Contest; GR: CUGR_ORIG; DR: Triton,27024100,855509,47,2237,5484907390,844007,20740815,8815,3839400,14947,17246770,0,0,0,15623581,377,2995
ispd18_test6,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,7500990737,1415901,252278886,14228,2394100,0,30268980,14188796140,80081,223799,352317181,na,na
ispd18_test6,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,7140701827,1480617,48621481,36581,3296581,16,23802281,576000,265,542,21630645,510,6723
ispd18_test6,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,7112168600,1374103,111742895,47525,10430640,24758,33451300,0,0,0,21352958,587.345,3997.25
